基金代码,基金简称,基金类型,最新净值/万份收益,最新净值/万份收益-报告时间,申购状态,赎回状态,下一开放日,购买起点,日累计限定金额,手续费,fetch_date
159966,创业板价值ETF华夏,指数型-股票,0.5347,08-31,场内交易,场内交易,,0.0,0.0,,20260901
159967,创业板成长ETF华夏,指数型-股票,0.7871,08-31,场内交易,场内交易,,0.0,0.0,,20260901
159968,中证500ETF博时,指数型-股票,10.4382,08-31,场内交易,场内交易,,0.0,0.0,,20260901
159970,深100ETF工银,指数型-股票,1.033,08-31,场内交易,场内交易,,0.0,0.0,,20260901
159971,创业板ETF富国,指数型-股票,1.2021,08-31,场内交易,场内交易,,0.0,0.0,,20260901
159972,5年地方债ETF鹏华,指数型-固收,119.7847,08-31,场内交易,场内交易,,0.0,0.0,,20260901
159973,民企ETF弘毅远方,指数型-股票,1.9218,08-31,场内交易,场内交易,,0.0,0.0,,20260901
159974,央企创新ETF富国,指数型-股票,1.7995,08-31,场内交易,场内交易,,0.0,0.0,,20260901
159975,深100ETF招商,指数型-股票,0.7578,08-31,场内交易,场内交易,,0.0,0.0,,20260901
159976,湾创ETF工银,指数型-股票,1.3219,08-31,场内交易,场内交易,,0.0,0.0,,20260901
159977,创业板ETF天弘,指数型-股票,1.7936,08-31,场内交易,场内交易,,0.0,0.0,,20260901
159980,有色ETF大成,指数型-其他,2.162,08-31,场内交易,场内交易,,0.0,0.0,,20260901
159981,能源化工ETF建信,指数型-其他,1.588,08-31,场内交易,场内交易,,0.0,0.0,,20260901
159982,中证500ETF鹏华,指数型-股票,2.1444,08-31,场内交易,场内交易,,0.0,0.0,,20260901
159985,豆粕ETF华夏,指数型-其他,2.2056,08-31,场内交易,场内交易,,0.0,0.0,,20260901
159991,创业板大盘ETF招商,指数型-股票,0.8147,08-31,场内交易,场内交易,,0.0,0.0,,20260901
159992,创新药ETF银华,指数型-股票,0.8487,08-31,场内交易,场内交易,,0.0,0.0,,20260901
159993,证券ETF鹏华,指数型-股票,1.1932,08-31,场内交易,场内交易,,0.0,0.0,,20260901
159994,通信ETF银华,指数型-股票,1.2879,08-31,场内交易,场内交易,,0.0,0.0,,20260901
159995,芯片ETF华夏,指数型-股票,1.1691,08-31,场内交易,场内交易,,0.0,0.0,,20260901
159996,家电ETF国泰,指数型-股票,1.4461,08-31,场内交易,场内交易,,0.0,0.0,,20260901
159997,电子ETF天弘,指数型-股票,2.1482,08-31,场内交易,场内交易,,0.0,0.0,,20260901
159998,计算机ETF天弘,指数型-股票,1.0007,08-31,场内交易,场内交易,,0.0,0.0,,20260901
160105,南方积极配置混合(LOF),混合型-灵活,1.295,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.15,20260901
160106,南方高增长混合(LOF),混合型-偏股,1.555,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.15,20260901
160119,南方中证500ETF联接(LOF)A,指数型-股票,2.2584,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.12,20260901
160125,南方香港优选股票,QDII-普通股票,1.5858,08-28,开放申购,开放赎回,,10.0,100000000000.0,0.13,20260901
160127,南方新兴消费增长股票(LOF)A,股票型,0.8568,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.15,20260901
