fund_id,price_dt,price,volume,net_value_dt,net_value,est_val_dt,est_val,est_val_increase_rt,est_error_rt,discount_rt,amount_dt,amount,amount_incr,amount_increase_rt,ref_increase_rt,is_est,code,est_val2
161229,2025-12-31,1.544,14.020,2026-12-30,1.5534,2025-12-31,1.5523,,-0.07,-0.54,,553,3,0.550,-0.47,0,161229,
161229,2026-01-06,1.57,22.44,2026-01-06,,2026-01-06,1.5634,,,,2026-01-06,550,-5,-0.90,0.64,1,161229,
161229,2026-01-07,1.559,7.72,2026-01-07,,2026-01-07,1.5641,,,,2026-01-07,550,0,0.00,-0.76,1,161229,
161229,2026-01-08,1.553,31.59,2026-01-08,,2026-01-08,1.5707,,,,2026-01-08,542,-8,-1.45,-0.98,1,161229,
161229,2026-01-09,1.56,19.23,2026-01-09,,2026-01-09,1.5811,,,,2026-01-09,539,-3,-0.55,0.38,1,161229,
