fund_id,price_dt,price,volume,net_value_dt,net_value,est_val_dt,est_val,est_val_increase_rt,est_error_rt,discount_rt,amount_dt,amount,amount_incr,amount_increase_rt,ref_increase_rt,is_est,code,est_val2
501051,2025-12-12,1.96,1.390,2025-12-12,1.984,2025-12-12,1.9771,,-0.35,-1.21,,650,0,0.000,0.73,0,501051,
501051,2025-12-15,1.969,0.810,2025-12-15,1.9873,2025-12-15,1.9744,,-0.65,-0.92,,650,0,0.000,-0.48,0,501051,
501051,2025-12-16,1.933,1.240,2025-12-16,1.9653,2025-12-16,1.9641,,-0.06,-1.64,,650,0,0.000,-1.17,0,501051,
501051,2025-12-17,1.966,1.790,2025-12-17,1.9888,2025-12-17,1.9889,,0.01,-1.15,,650,0,0.000,1.20,0,501051,
501051,2025-12-18,1.957,0.410,2025-12-18,1.9739,2025-12-18,1.9730,,-0.05,-0.86,,650,0,0.000,-0.79,0,501051,
501051,2025-12-19,1.964,0.490,2025-12-19,1.9831,2025-12-19,1.9807,,-0.12,-0.96,,650,0,0.000,0.34,0,501051,
501051,2025-12-22,1.969,0.870,2025-12-22,1.9944,2025-12-22,1.9991,,0.24,-1.27,,650,0,0.000,0.80,0,501051,
501051,2025-12-23,1.999,1.020,2025-12-23,1.995,2025-12-23,1.9987,,0.19,0.2,,650,0,0.000,0.21,0,501051,
501051,2025-12-24,1.996,1.830,2025-12-24,2.0106,2025-12-24,1.9987,,-0.59,-0.73,,650,0,0.000,0.19,0,501051,
501051,2025-12-25,2.0,1.260,2025-12-25,2.0266,2025-12-25,2.0152,,-0.56,-1.31,,650,0,0.000,0.23,0,501051,
501051,2025-12-26,2.0,0.400,2025-12-26,2.0253,2025-12-26,2.0241,,-0.06,-1.25,,650,0,0.000,-0.12,0,501051,
501051,2025-12-29,2.0,0.000,2025-12-29,2.0274,2025-12-29,2.0182,,-0.45,-1.35,,650,0,0.000,-0.35,0,501051,
501051,2025-12-30,1.999,0.460,2025-12-30,2.0342,2025-12-30,2.0296,,-0.23,-1.73,,650,0,0.000,0.11,0,501051,
501051,2025-12-31,1.998,0.060,2025-12-31,2.0245,2025-12-31,2.0241,,-0.02,-1.31,,650,0,0.000,-0.49,0,501051,
501051,2026-01-05,2.038,2.890,2026-01-05,2.0668,2026-01-05,2.0675,,0.03,-1.39,2026-01-05,650,0,0.000,2.13,0,501051,
501051,2026-01-06,2.058,0.29,2026-01-06,,2026-01-06,2.0813,,,,2026-01-06,650,0,0.00,0.70,1,501051,
